"","area","Age1","Sex","current_risk","pnothome","disease_status","exposed_days","presymp_days","symp_days","id","house_id"
"68","j",5,0,7.73371517192572,0.637017642665326,3,3,4,6,68,1
"69","o",1,0,2.57713653147221,0.506800689626609,0,0,2,19,69,21
"70","o",8,1,7.01894134515896,0.687992695059365,2,2,4,1,70,15
"71","d",7,0,3.95090672420338,0.901871027740149,5,4,4,1,71,14
"72","w",2,1,8.4862895659171,0.793761098499443,1,1,0,17,72,16
"73","z",6,0,4.16430624201894,0.915942273712975,3,3,0,17,73,10
"74","i",6,1,7.65353896422312,0.315580812218036,1,0,1,15,74,18
"75","u",10,1,4.92135887732729,0.546941970738088,3,0,0,4,75,15
"76","b",10,1,4.7234424832277,0.68171196117238,5,1,3,11,76,1
"77","b",7,0,9.17158359196037,1.03828624261271,0,2,3,11,77,17
"78","r",2,1,0.104979644529521,0.325239269330858,1,4,4,14,78,11
"79","y",5,0,8.39628670364618,0.853636988662011,4,0,0,17,79,10
"80","n",8,0,6.16292780730873,0.83830174979055,5,3,1,21,80,8
"81","q",3,0,4.90274961106479,0.737417015593642,6,2,3,1,81,9
"82","z",8,0,8.6759779904969,0.891297542700864,3,3,1,15,82,7
"83","q",8,1,6.94798668846488,0.58216375484703,4,2,1,9,83,17
"84","f",5,1,8.0059835431166,0.761116174223269,3,0,1,9,84,8
"85","z",3,1,4.0026958938688,0.620046398852566,6,2,3,17,85,14
"86","g",6,1,2.94108850648627,0.796042381811728,6,4,3,1,86,14
"87","p",8,1,1.39062602771446,0.932334010080486,2,3,3,7,87,25
"88","b",6,0,3.0864751781337,0.804457349414036,3,0,4,4,88,23
"89","z",1,1,7.51109549077228,0.280170266423821,2,0,3,2,89,17
"90","x",7,0,3.80696349078789,0.899634309903002,3,4,1,14,90,12
"91","x",7,0,3.42995116719976,0.564198726229001,2,0,3,21,91,12
"92","k",3,0,9.35157686006278,0.566669231843926,5,0,1,5,92,6
"93","h",5,0,1.62382871378213,0.517647919231218,5,4,3,1,93,24
"94","c",1,1,5.44783344957978,0.499947933130688,6,1,2,2,94,18
"95","w",7,0,8.34552138345316,0.654452174569528,6,2,2,5,95,8
"96","w",3,1,8.13654254889116,0.885685091634331,0,4,1,9,96,17
"97","u",5,1,2.52013048389927,0.683353660534257,0,0,0,11,97,7
"98","q",3,1,9.17011864483356,0.369194890429148,6,0,3,5,98,18
"99","n",1,1,2.56460345815867,0.53746229474389,3,3,3,2,99,18
"100","m",6,0,1.11308353720233,0.670892656766202,3,0,3,20,100,13
